date,tp,1,2,3,4,5
2020/2/1,cp,30844.87567,218081.9411,0,0,0
2020/3/1,cp,159417.862,644577.1657,0,0,0
2020/4/1,cp,252821.279,644577.1657,0,0,0
2020/5/1,cp,240531.3557,382986.266,0,0,0
2020/6/1,cp,492729.6432,816117.863,0,0,0
2020/7/1,cp,101128.5116,359351.7699,0,0,0
2020/8/1,cp,90594.29165,212173.317,0,0,0
2020/9/1,cp,82914.50548,263548.8895,0,0,0
2020/10/1,cp,75495.24304,144492.7146,0,0,0
2020/11/1,cp,8903.114933,64977.53686,0,0,0
2020/12/1,cp,43541.4425,95612.27958,0,0,0
2016/1/1,nph,56182.50645,158136.2647,0,0,0
2016/2/1,nph,83041.36921,135874.0942,0,0,0
2016/3/1,nph,57867.98164,109148.4001,0,0,0
2016/4/1,nph,76661.93622,234542.9171,0,0,0
2016/5/1,nph,100566.6865,251814.8127,0,0,0
2016/6/1,nph,121789.1753,278623.6781,0,0,0
2016/7/1,nph,80902.80929,110867.2725,0,0,0
2016/8/1,nph,37642.27932,77950.86524,0,0,0
2016/9/1,nph,94060.38983,454946.7221,0,0,0
2016/10/1,nph,81464.63435,170168.3717,0,0,0
2016/11/1,nph,32513.36018,86498.09707,0,0,0
2016/12/1,nph,33878.05139,63684.22397,0,0,0
2017/1/1,nph,38372.6519,40479.44601,0,0,0
2017/2/1,nph,38109.86276,27169.27408,0,0,0
2017/3/1,nph,30057.64095,101413.4741,0,0,0
2017/4/1,nph,57632.37758,96478.64674,0,0,0
2017/5/1,nph,43990.90255,60848.08444,0,0,0
2017/6/1,nph,90798.17978,326031.289,0,0,0
2017/7/1,nph,92139.31058,177043.8615,0,0,0
2017/8/1,nph,61800.75709,208843.0017,0,0,0
2017/9/1,nph,33818.2442,72192.64256,0,0,0
2017/10/1,nph,10000.48615,33174.23813,0,0,0
2017/11/1,nph,2838.122745,21624.52427,0,0,0
2017/12/1,nph,14551.26917,23548.55245,0,0,0
2018/1/1,nph,13315.25403,46323.61231,0,0,0
2018/2/1,nph,14513.21005,23598.4552,0,0,0
2018/3/1,nph,13146.70651,39276.2353,0,0,0
2018/4/1,nph,18431.48679,64873.57281,0,0,0
2018/5/1,nph,26124.8655,57238.45231,0,0,0
2018/6/1,nph,61438.28931,201274.4182,0,0,0
2018/7/1,nph,43316.71247,134931.4867,0,0,0
2018/8/1,nph,41912.14981,148682.4662,0,0,0
2018/9/1,nph,64700.49936,237869.767,0,0,0
2018/10/1,nph,33597.13886,75200.66933,0,0,0
2018/11/1,nph,23052.95103,78513.65734,0,0,0
2018/12/1,nph,32698.21875,61879.40791,0,0,0
2019/1/1,nph,21854.99501,52425.60948,0,0,0
2019/2/1,nph,26641.38209,77238.36489,0,0,0
2019/3/1,nph,79217.33409,147823.03,0,0,0
2019/4/1,nph,49205.00162,153035.0948,0,0,0
2019/5/1,nph,39608.66705,110867.2725,0,0,0
2019/6/1,nph,103303.3183,367616.9126,0,0,0
2019/7/1,nph,133152.5403,334320.6899,0,0,0
2019/8/1,nph,39608.66705,103991.7827,0,0,0
2019/9/1,nph,16963.49227,51649.3445,0,0,0
2019/10/1,nph,13539.98405,22431.28537,0,0,0
2019/11/1,nph,9514.779318,13473.74204,0,0,0
