,1-5_a,10-12_a,11-12_a,4-9_a,6-11_a,6-9-2_a,6-9_a,8-10_a,9-11_a,9-10_a,5-6_a,1-5_b,10-12_b,11-12_b,4-9_b,6-11_b,6-9-2_b,6-9_b,8-10_b,9-11_b,9-10_b,5-6_b,sea_a,sea_b
7046,14270000,552000000,284000000,59020000,329300000,98900000,82718330,21350000,330100000,0,111978000,0,0,0,0,0,0,0,0,0,48680000,0,916710000,0
7047,17140000,477000000,290000000,71350000,334400000,102500000,88896270,26288000,309100000,0,117284000,0,0,0,0,0,0,0,0,0,40090000,0,815190000,0
7048,15550000,389000000,188000000,62400000,270600000,78000000,74746600,26365000,239800000,0,91806000,0,0,0,0,0,0,0,0,0,27420000,0,588050000,0
7049,8150000,111000000,39000000,21850000,69600000,10000000,24365000,20800000,95500000,0,26060000,0,0,0,0,0,0,0,0,0,14800000,0,117630000,0
7050,0,0,0,0,0,0,0,0,0,8910000,0,7420000,282000000,183000000,39950000,184700000,77600000,51305000,296000,148000000,0,58619000,0,541310000
7051,0,0,0,0,0,0,0,0,0,27300000,0,12120000,619000000,247000000,55480000,329500000,105100000,76760200,21581000,318700000,0,101618000,0,958080000
7052,0,0,0,0,0,0,0,0,0,20630000,0,11800000,613000000,232000000,55670000,326200000,98300000,77112800,25321000,309500000,0,103574000,0,923540000
7053,0,0,0,0,0,0,0,0,0,14100000,0,10780000,516000000,172000000,48170000,254200000,82800000,64694200,24518000,259300000,0,86078000,0,750780000
7054,0,0,0,0,0,0,0,0,0,11160000,0,9420000,429000000,153000000,40990000,204200000,70900000,53958800,22031000,225500000,0,70722000,0,622940000
7055,0,0,0,0,0,0,0,0,0,0,0,8000000,195000000,45000000,31670000,93200000,41400000,36742000,18207000,117400000,2710000,45687000,0,223950000
7056,0,86000000,97000000,0,43100000,10400000,0,0,48400000,0,4460000,5430000,0,0,10810000,0,0,4003000,8746000,0,24530000,0,248360000,0
7057,3860000,378000000,202000000,21540000,183800000,61800000,36606000,8336000,212000000,0,55337000,0,0,0,0,0,0,0,0,0,35040000,0,675340000,0
7058,11820000,560000000,256000000,48150000,301500000,88700000,71002100,18224000,313700000,0,98674000,0,0,0,0,0,0,0,0,0,47270000,0,913080000,0
7059,16540000,547000000,307000000,66500000,346000000,105700000,89157700,24593000,342100000,0,120113000,0,0,0,0,0,0,0,0,0,49650000,0,925500000,0
7060,17750000,514000000,239000000,74080000,337900000,101100000,90341200,27903000,305300000,0,117420000,0,0,0,0,0,0,0,0,0,38940000,0,794470000,0
7061,15000000,339000000,172000000,58360000,240900000,68300000,69226000,26889000,220300000,0,82752000,0,0,0,0,0,0,0,0,0,25090000,0,510430000,0
7062,4710000,5000000,0,5460000,300000,0,4427000,18888000,47300000,0,3550000,0,0,0,0,0,14300000,0,0,0,12030000,0,0,37700000
7063,0,0,0,0,0,0,0,0,0,15150000,0,10120000,385000000,197000000,47720000,230000000,89800000,62001000,6864000,201100000,0,74461000,0,659110000
7064,0,0,0,0,0,0,0,0,0,24040000,0,11740000,615000000,228000000,54890000,324800000,101600000,75690600,22675000,310300000,0,100788000,0,923530000
7065,0,0,0,0,0,0,0,0,0,16610000,0,11180000,549000000,198000000,51880000,292100000,88600000,70710300,24525000,277800000,0,94779000,0,810000000
7066,0,0,0,0,0,0,0,0,0,9110000,0,9920000,424000000,137000000,42810000,212400000,69800000,56044900,22739000,217400000,0,73860000,0,602650000
7067,0,0,0,0,0,0,0,0,0,2500000,0,8290000,294000000,97000000,34060000,145800000,52800000,42445200,19408000,160600000,0,54357000,0,400100000
7068,0,0,20000000,0,0,0,0,0,0,0,0,6000000,58000000,0,19440000,24900000,14400000,18283000,13585000,36900000,12660000,19668000,0,1790000
7069,2070000,225000000,157000000,12480000,122600000,44000000,22991000,1980000,135900000,0,36063000,0,0,0,0,0,0,0,0,0,25500000,0,454110000,0
7070,9470000,440000000,238000000,40460000,247200000,78600000,59218400,14777000,260900000,0,81845000,0,0,0,0,0,0,0,0,0,36230000,0,755980000,0
7071,13830000,516000000,215000000,57350000,296300000,90300000,76819300,21041000,291000000,0,103206000,0,0,0,0,0,0,0,0,0,40980000,0,790450000,0
7072,14980000,420000000,207000000,61290000,278600000,84500000,74983900,23561000,253900000,0,97180000,0,0,0,0,0,0,0,0,0,30520000,0,661060000,0
7073,12440000,284000000,128000000,45370000,191500000,53700000,54194400,22160000,176800000,0,64215000,0,0,0,0,0,0,0,0,0,18310000,0,412820000,0
7074,3260000,1000000,0,560000,0,0,0,14379000,24500000,0,0,0,0,25000000,0,9800000,16100000,822000,0,0,6090000,723000,0,62670000
7075,0,0,0,0,0,0,0,0,0,17090000,0,9300000,353000000,198000000,42060000,211100000,79900000,55343200,8984000,197000000,0,66693000,0,623810000
7076,0,0,0,0,0,0,0,0,0,23470000,0,11010000,561000000,231000000,50610000,302600000,94800000,70303600,21290000,292900000,0,94096000,0,871280000
7077,0,0,0,0,0,0,0,0,0,16930000,0,10680000,533000000,192000000,48820000,276500000,85100000,67093700,23064000,267800000,0,90094000,0,790590000
7078,0,0,0,0,0,0,0,0,0,10990000,0,9660000,439000000,144000000,42380000,214500000,71400000,55967500,21957000,223400000,0,74175000,0,633870000
7079,0,0,0,0,0,0,0,0,0,6080000,0,8320000,334000000,110000000,35170000,158000000,57100000,44746000,19159000,177500000,0,58036000,0,466970000
7080,0,0,0,0,0,0,0,0,0,0,0,6790000,124000000,14000000,24670000,57800000,27600000,26689000,14712000,74600000,6700000,31751000,0,113930000
7081,0,135000000,120000000,0,70300000,23100000,6746000,0,83600000,0,16245000,2650000,0,0,1030000,0,0,0,3000000,0,23860000,0,317540000,0
7082,6500000,374000000,216000000,27710000,197000000,66300000,43219000,11048000,222000000,0,62772000,0,0,0,0,0,0,0,0,0,33040000,0,672260000,0
7083,12120000,521000000,213000000,48230000,277800000,83500000,68383600,18312000,287100000,0,94442000,0,0,0,0,0,0,0,0,0,41140000,0,816440000,0
7084,15090000,494000000,246000000,61240000,305600000,93500000,79937400,22933000,297200000,0,107339000,0,0,0,0,0,0,0,0,0,41370000,0,794910000,0
7085,15340000,429000000,197000000,62810000,281000000,83600000,76100300,24612000,252900000,0,97670000,0,0,0,0,0,0,0,0,0,29230000,0,656920000,0
7086,12200000,263000000,119000000,43630000,178200000,48700000,51644700,22656000,170600000,0,60087000,0,0,0,0,0,0,0,0,0,19400000,0,378630000,0
7087,1870000,0,0,0,0,0,0,13860000,12200000,0,0,0,30000000,37000000,4950000,31300000,25600000,7503000,0,0,9260000,8455000,0,106760000
7088,0,0,0,0,0,0,0,0,0,16420000,0,9710000,370000000,177000000,42570000,211400000,80900000,55818600,9976000,198400000,0,68233000,0,612290000
7089,0,0,0,0,0,0,0,0,0,21100000,0,10430000,528000000,197000000,47770000,279400000,88100000,65591100,20664000,270900000,0,87687000,0,792310000
7090,0,0,0,0,0,0,0,0,0,13060000,0,9940000,468000000,170000000,44920000,247800000,76200000,60868400,21750000,238700000,0,81555000,0,689530000
7091,0,0,0,0,0,0,0,0,0,6610000,0,8770000,355000000,107000000,37180000,177900000,58200000,47936600,20004000,181500000,0,62916000,0,489630000
7092,0,0,0,0,0,0,0,0,0,0,0,6850000,198000000,44000000,26310000,94500000,34500000,30706300,16006000,105600000,2290000,38228000,0,240560000
7093,0,0,43000000,0,2000000,400000,0,0,0,0,0,2930000,19000000,0,8900000,0,0,6474000,8892000,4600000,11080000,3684000,54900000,0
7094,4320000,224000000,150000000,18030000,123700000,46900000,27662200,5342000,139100000,0,39471000,0,0,0,0,0,0,0,0,0,20690000,0,434490000,0
7095,9240000,432000000,180000000,40090000,228800000,73000000,56973000,14808000,239400000,0,77401000,0,0,0,0,0,0,0,0,0,32040000,0,673590000,0
7096,12520000,429000000,187000000,51810000,255300000,78200000,67563700,19521000,247700000,0,89444000,0,0,0,0,0,0,0,0,0,33550000,0,660860000,0
7097,12630000,344000000,150000000,49330000,219900000,66600000,59901100,20349000,203400000,0,75580000,0,0,0,0,0,0,0,0,0,23680000,0,517380000,0
7098,9420000,203000000,82000000,29930000,126700000,34800000,35874000,17850000,131600000,0,41288000,0,0,0,0,0,0,0,0,0,16220000,0,281090000,0
7099,170000,0,0,0,0,0,0,9128000,0,0,0,0,28000000,67000000,9800000,43000000,24400000,12758000,0,4800000,6560000,11623000,0,130900000
7100,0,0,0,0,0,0,0,0,0,15660000,0,8770000,332000000,185000000,36940000,193700000,70600000,49144800,11572000,190300000,0,60499000,0,577110000
7101,0,0,0,0,0,0,0,0,0,19990000,0,9730000,502000000,185000000,44250000,260900000,82800000,61225560,19479000,256600000,0,82340000,0,753070000
7102,0,0,0,0,0,0,0,0,0,14690000,0,9580000,464000000,181000000,43290000,243300000,75800000,59423240,20800000,239300000,0,79782000,0,704790000
7103,0,0,0,0,0,0,0,0,0,10210000,0,8840000,406000000,128000000,38820000,196800000,65100000,51273400,20048000,204700000,0,68034000,0,576360000
7104,0,0,0,0,0,0,0,0,0,1310000,0,7580000,259000000,65000000,31080000,121000000,45600000,37859000,17133000,136400000,0,48804000,0,332890000
