time,1,2,3,4,5
1553520,1989012341,1019866500,1901469346,4489174552,2369059206
1553760,1547379540,753575471.2,1503749346,4123784552,2212559206
1554000,1498866740,689054442.2,1406269346,4173964552,2263059206
1554240,2042933939,1053913413,1934729346,4550644552,2403459206
1554480,1735481138,865992384.1,1701829346,4269684552,2269059206
1554720,1480978337,685131355.1,1392239346,4136304552,2243259206
1554960,1913865536,978680326,1816379346,4462894552,2368759206
1555200,1696092735,844449297,1651019346,4243924552,2259659206
1555440,1431719935,652298268,1340389346,4089844552,2223459206
1555680,1922937134,981037239,1820299346,4494344552,2388959206
1555920,1879564333,952056209.9,1839279346,4377684552,2311259206
1556160,1431221532,662575180.9,1364769346,4070884552,2208259206
1556400,1793318731,896994151.9,1699699346,4408504552,2353859206
1556640,1879995931,953293122.8,1829599346,4385194552,2314559206
1556880,1420983130,659322093.8,1355669346,4055274552,2200559206
1557120,1781550329,883391064.8,1687109346,4414964552,2362159206
1557360,2032777528,1042240036,1985939346,4500024552,2359059206
1557600,1448844727,688029006.7,1406829346,4048144552,2187759206
1557840,1643131926,783537977.7,1549399346,4310844552,2320859206
1558080,2050589126,1054976949,1978049346,4521064552,2374059206
1558320,1494786325,719395919.6,1455979346,4080284552,2197859206
1558560,1627083524,770614890.6,1534569346,4302444552,2319659206
1558800,2142040723,1111663862,2053679346,4588494552,2404659206
1559040,1534567922,748512832.6,1508689346,4086874552,2191259206
1559280,1477835122,665901803.5,1383609346,4170064552,2266359206
1559520,2115642321,1100300774,1996299346,4594934552,2418359206
1559760,1645189520,815199745.5,1620259346,4173894552,2224059206
1560000,1476226719,668968716.4,1384909346,4159004552,2262859206
1560240,2148083918,1119347687,2024079346,4625364552,2433359206
1560480,1673841117,834596658.4,1654179346,4177124552,2218059206
1560720,1341678317,583975629.3,1249019346,4012834552,2197859206
1560960,2054075516,1054064600,1926049346,4609284552,2441959206
1561200,1850492715,937853571.3,1827239346,4314354552,2272259206
1561440,1381339914,616672542.3,1305429346,4037164552,2203559206
1561680,2055217113,1054971513,1930469346,4612014552,2443559206
1561920,1854104313,941580484.2,1831439346,4305714552,2264059206
1562160,1268741512,554489455.2,1199029346,3889344552,2136559206
1562400,1929038711,954228426.1,1811459346,4576244552,2438259206
1562640,2102415910,1083827397,2070819346,4501674552,2340659206
1562880,1361283109,624196368.1,1326829346,3968894552,2162559206
1563120,1907410308,945805339.1,1798619346,4550434552,2429059206
1563360,2063817508,1063824310,2029709346,4465684552,2325059206
1563600,1267244707,577813281,1231379346,3831964552,2096559206
1563840,1748741906,817992252,1644409346,4475924552,2408659206
1564080,2398609105,1256921223,2337839346,4754164552,2433059206
1564320,1451696304,699270193.9,1461719346,3982514552,2147559206
1564560,1749713504,829399164.9,1656619346,4450734552,2394059206
1564800,2245770703,1172288136,2194339346,4622834552,2393459206
1565040,1340717902,636337106.8,1328699346,3861944552,2090559206
1565280,1551565101,684636077.8,1449239346,4310124552,2341359206
1565520,2479142300,1324275049,2340519346,4827194552,2487359206
1565760,1601529499,798154019.7,1625359346,4064054552,2163159206
1566000,1580636699,715722990.7,1495099346,4306404552,2336459206
1566240,2431493898,1292221962,2308209346,4792204552,2465559206
1566480,1572431097,783630932.7,1588739346,4011694552,2118259206
1566720,1380828296,586519903.6,1286979346,4108134552,2254259206
1566960,2382565495,1263718875,2211979346,4801764552,2508359206
1567200,1716032695,861157845.6,1721789346,4171114552,2204859206
1567440,1430639894,629526816.5,1345779346,4133014552,2261959206
1567680,2362487093,1250855788,2204399346,4785184552,2488659206
1567920,1699584292,861834758.5,1708389346,4108184552,2165059206
1568160,1264391491,529183729.5,1173519346,3930364552,2172059206
1568400,2267458690,1172472700,2098269346,4794224552,2517559206
1568640,2211705890,1150361671,2208699346,4546524552,2288659206
1568880,1366633089,612270642.4,1337459346,3997194552,2191459206
1569120,2169800288,1120809613,2033249346,4702264552,2481659206
1569360,1838497487,935788584.3,1828279346,4256824552,2232459206
