date and time,S1,S2,S3,S4,S5
2016-01-07 18:00:00,10.6352,12.9347,12.7168,13.1575,13.1692
2016-01-07 19:00:00,10.525749999999999,13.245000000000001,12.6903,13.14845,13.16575
2016-01-07 20:00:00,10.4163,13.5553,12.6638,13.1394,13.1623
2016-01-07 21:00:00,10.324200000000001,13.06815,12.6997,13.114550000000001,13.14285
2016-01-07 22:00:00,10.2321,12.581,12.7356,13.0897,13.1234
2016-01-07 23:00:00,10.51615,12.4576,12.83025,13.0831,12.921700000000001
2016-01-08 00:00:00,10.8002,12.3342,12.9249,13.0765,12.72
2016-01-08 01:00:00,10.891449999999999,12.41015,12.98845,13.018999999999998,12.704450000000001
2016-01-08 02:00:00,10.9827,12.4861,13.052,12.9615,12.6889
2016-01-08 03:00:00,10.962499999999999,12.430150000000001,12.984649999999998,13.00205,12.70515
2016-01-08 04:00:00,10.9423,12.3742,12.9173,13.0426,12.7214
2016-01-08 05:00:00,10.83585,12.447700000000001,12.81715,13.0515,12.8333
2016-01-08 06:00:00,10.7294,12.5212,12.717,13.0604,12.9452
2016-01-08 07:00:00,10.67425,12.763950000000001,12.6775,13.0595,12.9656
2016-01-08 08:00:00,10.6191,13.0067,12.638,13.0586,12.986
2016-01-08 09:00:00,10.522749999999998,12.717,12.66075,13.043849999999999,12.95325
2016-01-08 10:00:00,10.4264,12.4273,12.6835,13.0291,12.9205
2016-01-08 11:00:00,10.64785,12.3878,12.79775,12.9382,12.7188
2016-01-08 12:00:00,10.8693,12.3483,12.912,12.8473,12.5171
2016-01-08 13:00:00,10.9286,12.3948,12.94595,12.83735,12.501449999999998
2016-01-08 14:00:00,10.9879,12.4413,12.9799,12.8274,12.4858
2016-01-08 15:00:00,10.9451,12.402999999999999,12.909500000000001,12.889050000000001,12.50565
2016-01-08 16:00:00,10.9023,12.3647,12.8391,12.9507,12.5255
2016-01-08 17:00:00,10.79205,12.43855,12.72365,12.96425,12.6876
2016-01-08 18:00:00,10.6818,12.5124,12.6082,12.9778,12.8497
2016-01-08 19:00:00,10.5508,12.7896,12.568249999999999,12.9805,12.8766
2016-01-08 20:00:00,10.4198,13.0668,12.5283,12.9832,12.9035
2016-01-08 21:00:00,10.4198,13.01975,12.53425,12.9613,12.7046
2016-01-08 22:00:00,10.4198,12.9727,12.5402,12.9394,12.5057
2016-01-08 23:00:00,10.4683,12.61345,12.6405,12.8915,12.5852
2016-01-09 00:00:00,10.5168,12.2542,12.7408,12.8436,12.6647
2016-01-09 01:00:00,10.70125,12.34745,12.813500000000001,12.6403,12.4724
2016-01-09 02:00:00,10.8857,12.4407,12.8862,12.437,12.2801
2016-01-09 03:00:00,10.91865,12.42835,12.8583,12.47865,12.278949999999998
2016-01-09 04:00:00,10.9516,12.416,12.8304,12.5203,12.2778
2016-01-09 05:00:00,10.822949999999999,12.3329,12.722249999999999,12.605350000000001,12.4018
2016-01-09 06:00:00,10.6943,12.2498,12.6141,12.6904,12.5258
2016-01-09 07:00:00,10.6202,12.39075,12.545100000000001,12.73715,12.5351
2016-01-09 08:00:00,10.5461,12.5317,12.4761,12.7839,12.5444
2016-01-09 09:00:00,10.4375,12.5662,12.479600000000001,12.7743,12.48085
2016-01-09 10:00:00,10.3289,12.6007,12.4831,12.7647,12.4173
2016-01-09 11:00:00,10.411950000000001,12.411200000000001,12.5714,12.71495,12.343699999999998
2016-01-09 12:00:00,10.495,12.2217,12.6597,12.6652,12.2701
2016-01-09 13:00:00,10.666599999999999,12.2904,12.7208,12.563649999999999,12.179549999999999
2016-01-09 14:00:00,10.8382,12.3591,12.7819,12.4621,12.089
2016-01-09 15:00:00,10.8689,12.3411,12.7621,12.450199999999999,12.089400000000001
2016-01-09 16:00:00,10.8996,12.3231,12.7423,12.4383,12.0898
2016-01-09 17:00:00,10.75455,12.2682,12.621,12.5201,12.24015
2016-01-09 18:00:00,10.6095,12.2133,12.4997,12.6019,12.3905
2016-01-09 19:00:00,10.5415,12.361,12.4426,12.66135,12.458549999999999
2016-01-09 20:00:00,10.4735,12.5087,12.3855,12.7208,12.5266
2016-01-09 21:00:00,10.42795,12.53595,12.3905,12.71,12.510200000000001
2016-01-09 22:00:00,10.3824,12.5632,12.3955,12.6992,12.4938
2016-01-09 23:00:00,10.264050000000001,12.36945,12.45115,12.61185,12.2284
2016-01-10 00:00:00,10.1457,12.1757,12.5068,12.5245,11.963
2016-01-10 01:00:00,10.466249999999999,12.23405,12.58305,12.24855,11.95135
2016-01-10 02:00:00,10.7868,12.2924,12.6593,11.9726,11.9397
