sta_num,from,zone,zone_new,date,year,mon,day_real,month,no,nh,cha
SS18,haiyang,4,4,2016/10/18,2016,10,18,11,0.266,0.038,
SS19,haiyang,4,4,2016/10/18,2016,10,18,11,0.297,0.031,
SS20,haiyang,3,3,2016/10/18,2016,10,18,11,0.313,0.027,
SS21,haiyang,3,0,2016/10/18,2016,10,18,11,0.252,0.02,
SS22,haiyang,3,3,2016/10/18,2016,10,18,11,0.236,0.026,
SS23,haiyang,4,5,2016/10/18,2016,10,18,11,0.312,0.022,
SS24,haiyang,4,5,2016/10/18,2016,10,18,11,0.267,0.02,
SS08,haiyang,2,2,2017/2/27,2017,2,27,2,0.468,0.084,
SS09,haiyang,2,2,2017/2/27,2017,2,27,2,0.457,0.086,
SS10,haiyang,2,2,2017/2/27,2017,2,27,2,0.457,0.059,
SS11,haiyang,2,1,2017/2/28,2017,2,28,2,0.453,0.066,
SS15,haiyang,1,1,2017/2/28,2017,2,28,2,0.419,0.047,
SS16,haiyang,1,1,2017/2/28,2017,2,28,2,0.423,0.046,
SS17,haiyang,1,1,2017/3/1,2017,3,1,2,0.398,0.067,
SS18,haiyang,4,4,2017/3/1,2017,3,1,2,0.421,0.046,
SS19,haiyang,4,4,2017/3/1,2017,3,1,2,0.421,0.045,
SS20,haiyang,3,3,2017/3/1,2017,3,1,2,0.413,0.047,
SS21,haiyang,3,0,2017/3/1,2017,3,1,2,0.391,0.048,
SS22,haiyang,3,3,2017/3/1,2017,3,1,2,0.417,0.055,
SS23,haiyang,4,5,2017/3/1,2017,3,1,2,0.372,0.042,
SS24,haiyang,4,5,2017/3/1,2017,3,1,2,0.372,0.037,
SS08,haiyang,2,2,2017/5/9,2017,5,9,5,0.236,0.073,
SS09,haiyang,2,2,2017/5/10,2017,5,10,5,0.454,0.08,
SS10,haiyang,2,2,2017/5/10,2017,5,10,5,0.304,0.076,
SS11,haiyang,2,1,2017/5/10,2017,5,10,5,0.411,0.079,
SS15,haiyang,1,1,2017/5/11,2017,5,11,5,0.325,0.072,
SS16,haiyang,1,1,2017/5/11,2017,5,11,5,0.319,0.067,
SS17,haiyang,1,1,2017/5/11,2017,5,11,5,0.231,0.059,
SS18,haiyang,4,4,2017/5/11,2017,5,11,5,0.255,0.061,
SS19,haiyang,4,4,2017/5/11,2017,5,11,5,0.222,0.023,
SS20,haiyang,3,3,2017/5/10,2017,5,10,5,0.248,0.065,
SS21,haiyang,3,0,2017/5/10,2017,5,10,5,0.234,0.07,
SS22,haiyang,3,3,2017/5/10,2017,5,10,5,0.221,0.078,
SS23,haiyang,4,5,2017/5/11,2017,5,11,5,0.243,0.042,
